,_id,benford_compliance.budget,benford_compliance.transaction,doc_size.avg,doc_size.max,doc_size.min,missing_data.@default-currency,missing_data.@xml:lang,missing_data.activity-date,missing_data.budget,missing_data.description,missing_data.document-link,missing_data.participating-org,missing_data.result,missing_data.title,missing_data.transaction,organization_id,records,relative_size.budget,relative_size.description,relative_size.document-link,relative_size.participating-org,relative_size.result,relative_size.title,relative_size.transaction,title_description_similarity,completeness,compliance,distance,organization_id.score,utility,grade,relative_size.other
30,57805352370d935726735fa1,0.38461538461538464,0.6410256410256411,5331.6,7805,2605,0.0,0.0,0.0,0.025,0.0,0.15,0.0,1.0,0.0,0.025,GB-CHC-285908,40,0.1494016364745015,0.06759564105833489,0.06154910212192656,0.06313528943571978,0.0,0.016387725844259543,0.3408464508112118,0.33417217005616057,88.0,100.0,85.0293976380205,GB-CHC-285908,62.81715838888142,B,0.301084154254046
31,57805365370d935726735fa2,0.0,0.2,4195.8,4548,3782,0.0,0.0,0.0,0.4,0.0,1.0,0.0,1.0,0.0,0.0,KE-NCB-TBD,5,0.03969159736919083,0.16708046210549662,0.0,0.06768482474020433,0.0,0.028164837597183533,0.16311325255413198,0.16591798186788861,76.0,75.0,79.26218938163417,KE-NCB-TBD,86.29301244428845,C,0.5342650256337927
32,57805379370d935726735fa3,0.0,0.3434343434343434,1441.5959595959596,7901,1290,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,GB-COH-4016725,99,0.0,0.0,0.0,0.1942776107362174,0.0,0.04806527203684115,0.3042066114891127,0.0,50.0,75.0,62.51666444503684,GB-COH-4016725,60.0,D,0.45345050573782875
33,5780538c370d935726735fa4,0.5,0.3333333333333333,4481.666666666667,5161,3995,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,XI-IATI-SOL-CAM,3,0.040841580971478025,0.127253315668406,0.0,0.06824576472950061,0.0,0.03268502637109081,0.23126919397412457,0.11148756461655547,76.66666666666667,100.0,87.0568146381534,XI-IATI-SOL-CAM,82.81841067689975,B,0.4997051182854
34,5780539f370d935726735fa5,0.5,0.0,7315.5,12070,2561,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,GB-COH-7557881,2,0.11098262866585554,0.15265969337397006,0.0,0.03373593191091793,0.0,0.03176016384962507,0.3683927091963546,0.23720686641548747,75.0,75.0,72.10675196289127,GB-COH-7557881,65.94051134100928,C,0.30246887300327674
35,578053b3370d935726735fa6,0.4456140350877193,0.45577100646352725,8536.931565901497,196106,1968,0.0,0.0,0.0,0.4164241836404785,0.0,0.007974997305744153,0.0,0.9183101627330531,0.0,0.4164241836404785,XM-DAC-41114,9279,0.060701277320238216,0.033962173511776036,0.20035564474318363,0.06362861293916289,0.029473080557410814,0.01690079841951206,0.23463721771329304,0.30941211741064245,82.40866472680246,100.0,94.50077252251175,XM-DAC-41114,100.0,A,0.36034119479542337
36,578053c7370d935726735fa7,0.34044298605414275,0.42310960067969416,4394.473898858075,26557,1221,0.00734094616639478,0.0,0.0,0.005709624796084829,0.22104404567699837,1.0,0.0,0.9951060358890701,0.010603588907014683,0.03833605220228385,NL-KVK-41198677,1226,0.0382708332112088,0.3290733748948981,0.0,0.03802162746127171,0.002576592680210495,0.03147902755640356,0.24707739330891365,0.20830208242165435,77.21859706362154,100.0,93.02815296542215,NL-KVK-41198677,100.0,A,0.31350115088709374
37,578053da370d935726735fa8,0.0,0.875,24670.11111111111,32205,2921,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,1.0,0.0,0.1111111111111111,GB-CHC-299717,9,0.01866743282119148,0.02948523497320125,0.0013805560931552804,0.023306191894090438,0.0,0.009989383658866148,0.8190563682778241,0.7765145304745156,80.0,75.0,69.58208581716035,GB-CHC-299717,50.0,D,0.09811483228167128
38,578053ed370d935726735fa9,0.15384615384615385,0.43803418803418803,6251.6175213675215,19253,3266,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,GB-CHC-213890,468,0.04211117548143934,0.042679017321017865,0.0,0.07758591421468367,0.0,0.016136544117879747,0.48617126304744773,0.1491629674980411,80.0,100.0,77.12059477711584,GB-CHC-213890,37.98365985958069,C,0.3353160858175316
39,57805401370d935726735faa,0.31654676258992803,0.41911764705882354,10199.283422459894,50134,2902,0.0,0.0,0.0,0.25668449197860965,0.0,1.0,0.0,1.0,0.0,0.2727272727272727,GB-COH-213890,187,0.04662280712441094,0.05980825281385662,0.0,0.04838115716245658,0.0,0.016901022308238894,0.45707313378575054,0.0,74.70588235294117,100.0,75.99493327130581,GB-COH-213890,41.76985504642292,C,0.37121362680528636
40,57805414370d935726735fab,1.0,1.0,22720.0,22720,22720,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,GB-CHC-1105489,2,0.07935739436619718,0.026056338028169014,0.0,0.020598591549295775,0.0,0.011223591549295775,0.8012764084507042,0.2067745850488811,80.0,100.0,84.26149773176358,GB-CHC-1105489,70.0,B,0.06148767605633809
41,57805427370d935726735fac,0.0,0.0,3506.0,3506,3506,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Netherlands Enterprise Agency,1,0.0,0.04905875641756988,0.0,0.2512835139760411,0.0,0.04420992584141472,0.22989161437535655,0.0,60.0,50.0,68.79922480183431,Netherlands Enterprise Agency,90.0,D,0.4255561893896178
42,5780543a370d935726735fad,0.0,0.5,14453.5,23652,5255,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,GB-CHC-1098106,2,0.06340325940858593,0.07588146181799106,0.06993339676498572,0.06604921778088016,0.0,0.01603695625903221,0.5423121987821187,0.0,85.0,75.0,74.04953297174353,GB-CHC-1098106,60.0,C,0.1663835091864062
43,5780544e370d935726735fae,1.0,1.0,63125.0,96152,2992,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,GB-CHC-1127488,3,0.0194330763057645,0.02316993777201502,0.06673872814954111,0.034036930819396106,0.0,0.014979057168524946,0.5907715118635758,0.0,83.33333333333334,100.0,82.75353858384636,GB-CHC-1127488,60.0,B,0.2508707579211824
